Query_index,Query,FAQ_index,Raw_score,Average,Label (mean score > 3 as positive)
17,"As a travel nurse, what resources are available regarding New York's response to COVID-19?",2569,"[1, 3, 2]",2,negative
17,"As a travel nurse, what resources are available regarding New York's response to COVID-19?",3401,"[3, 1, 2]",2,negative
18,"I had depleted my unemployment benefits on the First of July, 2019 and have remained unemployed since that date. What are the eligibility requirements to enroll for PEUC?",2999,"[3, 4, 1]",2.666666667,negative
18,"I had depleted my unemployment benefits on the First of July, 2019 and have remained unemployed since that date. What are the eligibility requirements to enroll for PEUC?",2989,"[2, 3, 3]",2.666666667,negative
18,"I had depleted my unemployment benefits on the First of July, 2019 and have remained unemployed since that date. What are the eligibility requirements to enroll for PEUC?",2959,"[2, 1, 3]",2,negative
18,"I had depleted my unemployment benefits on the First of July, 2019 and have remained unemployed since that date. What are the eligibility requirements to enroll for PEUC?",2980,"[3, 3, 2]",2.666666667,negative
18,"I had depleted my unemployment benefits on the First of July, 2019 and have remained unemployed since that date. What are the eligibility requirements to enroll for PEUC?",2995,"[3, 2, 3]",2.666666667,negative
18,"I had depleted my unemployment benefits on the First of July, 2019 and have remained unemployed since that date. What are the eligibility requirements to enroll for PEUC?",1260,"[1, 4, 3]",2.666666667,negative
18,"I had depleted my unemployment benefits on the First of July, 2019 and have remained unemployed since that date. What are the eligibility requirements to enroll for PEUC?",2992,"[4, 3, 3]",3.333333333,positive
18,"I had depleted my unemployment benefits on the First of July, 2019 and have remained unemployed since that date. What are the eligibility requirements to enroll for PEUC?",2962,"[3, 1, 4]",2.666666667,negative
18,"I had depleted my unemployment benefits on the First of July, 2019 and have remained unemployed since that date. What are the eligibility requirements to enroll for PEUC?",2343,"[3, 3, 4]",3.333333333,positive
18,"I had depleted my unemployment benefits on the First of July, 2019 and have remained unemployed since that date. What are the eligibility requirements to enroll for PEUC?",2659,"[4, 4, 3]",3.666666667,positive
18,"I had depleted my unemployment benefits on the First of July, 2019 and have remained unemployed since that date. What are the eligibility requirements to enroll for PEUC?",33,"[3, 3, 3]",3,negative
18,"I had depleted my unemployment benefits on the First of July, 2019 and have remained unemployed since that date. What are the eligibility requirements to enroll for PEUC?",1261,"[2, 1, 3]",2,negative
18,"I had depleted my unemployment benefits on the First of July, 2019 and have remained unemployed since that date. What are the eligibility requirements to enroll for PEUC?",2996,"[1, 2, 3]",2,negative
18,"I had depleted my unemployment benefits on the First of July, 2019 and have remained unemployed since that date. What are the eligibility requirements to enroll for PEUC?",2997,"[3, 2, 4]",3,negative
18,"I had depleted my unemployment benefits on the First of July, 2019 and have remained unemployed since that date. What are the eligibility requirements to enroll for PEUC?",2990,"[1, 4, 4]",3,negative
18,"I had depleted my unemployment benefits on the First of July, 2019 and have remained unemployed since that date. What are the eligibility requirements to enroll for PEUC?",2925,"[4, 1, 3]",2.666666667,negative
18,"I had depleted my unemployment benefits on the First of July, 2019 and have remained unemployed since that date. What are the eligibility requirements to enroll for PEUC?",2998,"[3, 3, 4]",3.333333333,positive
18,"I had depleted my unemployment benefits on the First of July, 2019 and have remained unemployed since that date. What are the eligibility requirements to enroll for PEUC?",2016,"[1, 2, 1]",1.333333333,negative
18,"I had depleted my unemployment benefits on the First of July, 2019 and have remained unemployed since that date. What are the eligibility requirements to enroll for PEUC?",6445,"[4, 3, 4]",3.666666667,positive
18,"I had depleted my unemployment benefits on the First of July, 2019 and have remained unemployed since that date. What are the eligibility requirements to enroll for PEUC?",2987,"[2, 4, 3]",3,negative
18,"I had depleted my unemployment benefits on the First of July, 2019 and have remained unemployed since that date. What are the eligibility requirements to enroll for PEUC?",2993,"[2, 4, 2]",2.666666667,negative
18,"I had depleted my unemployment benefits on the First of July, 2019 and have remained unemployed since that date. What are the eligibility requirements to enroll for PEUC?",2936,"[1, 2, 2]",1.666666667,negative
18,"I had depleted my unemployment benefits on the First of July, 2019 and have remained unemployed since that date. What are the eligibility requirements to enroll for PEUC?",1547,"[2, 2, 3]",2.333333333,negative
18,"I had depleted my unemployment benefits on the First of July, 2019 and have remained unemployed since that date. What are the eligibility requirements to enroll for PEUC?",2353,"[1, 2, 2]",1.666666667,negative
18,"I had depleted my unemployment benefits on the First of July, 2019 and have remained unemployed since that date. What are the eligibility requirements to enroll for PEUC?",1258,"[2, 4, 2]",2.666666667,negative
18,"I had depleted my unemployment benefits on the First of July, 2019 and have remained unemployed since that date. What are the eligibility requirements to enroll for PEUC?",2994,"[3, 2, 2]",2.333333333,negative
18,"I had depleted my unemployment benefits on the First of July, 2019 and have remained unemployed since that date. What are the eligibility requirements to enroll for PEUC?",2746,"[3, 2, 3]",2.666666667,negative
19,What to do when injury is reported.,3829,"[4, 1, 1]",2,negative
19,What to do when injury is reported.,3587,"[1, 4, 1]",2,negative
19,What to do when injury is reported.,2254,"[1, 3, 1]",1.666666667,negative
19,What to do when injury is reported.,851,"[1, 4, 3]",2.666666667,negative
19,What to do when injury is reported.,6134,"[3, 1, 3]",2.333333333,negative
19,What to do when injury is reported.,1934,"[1, 2, 3]",2,negative
19,What to do when injury is reported.,3370,"[2, 3, 2]",2.333333333,negative
19,What to do when injury is reported.,4782,"[1, 4, 2]",2.333333333,negative
19,What to do when injury is reported.,2516,"[1, 3, 1]",1.666666667,negative
19,What to do when injury is reported.,4094,"[1, 2, 3]",2,negative
19,What to do when injury is reported.,815,"[3, 2, 2]",2.333333333,negative
19,What to do when injury is reported.,3074,"[3, 2, 4]",3,negative
19,What to do when injury is reported.,3065,"[1, 1, 4]",2,negative
19,What to do when injury is reported.,742,"[3, 1, 2]",2,negative
19,What to do when injury is reported.,4756,"[4, 1, 2]",2.333333333,negative
19,What to do when injury is reported.,3115,"[3, 3, 2]",2.666666667,negative
19,What to do when injury is reported.,2549,"[3, 2, 2]",2.333333333,negative
19,What to do when injury is reported.,4744,"[3, 1, 1]",1.666666667,negative
19,What to do when injury is reported.,5416,"[1, 2, 3]",2,negative
19,What to do when injury is reported.,3889,"[3, 2, 2]",2.333333333,negative
19,What to do when injury is reported.,3068,"[2, 3, 3]",2.666666667,negative
19,What to do when injury is reported.,3725,"[3, 3, 2]",2.666666667,negative
19,What to do when injury is reported.,2519,"[3, 2, 2]",2.333333333,negative
19,What to do when injury is reported.,142,"[2, 2, 4]",2.666666667,negative
19,What to do when injury is reported.,3063,"[4, 4, 3]",3.666666667,positive
19,What to do when injury is reported.,5657,"[2, 4, 1]",2.333333333,negative
19,What to do when injury is reported.,3211,"[3, 1, 1]",1.666666667,negative
19,What to do when injury is reported.,5415,"[3, 4, 2]",3,negative
19,What to do when injury is reported.,3062,"[2, 4, 3]",3,negative
19,What to do when injury is reported.,3064,"[4, 4, 2]",3.333333333,positive
19,What to do when injury is reported.,2545,"[1, 3, 1]",1.666666667,negative
19,What to do when injury is reported.,3743,"[1, 3, 3]",2.333333333,negative
20,"If you worked more hours before, than you can file for unemployment benefits.",1260,"[4, 2, 3]",3,negative
20,"If you worked more hours before, than you can file for unemployment benefits.",2016,"[3, 2, 4]",3,negative
20,"If you worked more hours before, than you can file for unemployment benefits.",6882,"[3, 4, 3]",3.333333333,positive
20,"If you worked more hours before, than you can file for unemployment benefits.",1998,"[4, 2, 1]",2.333333333,negative
20,"If you worked more hours before, than you can file for unemployment benefits.",2921,"[2, 3, 3]",2.666666667,negative
20,"If you worked more hours before, than you can file for unemployment benefits.",1261,"[3, 3, 4]",3.333333333,positive
20,"If you worked more hours before, than you can file for unemployment benefits.",2343,"[3, 3, 3]",3,negative
20,"If you worked more hours before, than you can file for unemployment benefits.",3022,"[3, 1, 3]",2.333333333,negative
20,"If you worked more hours before, than you can file for unemployment benefits.",2745,"[4, 2, 4]",3.333333333,positive
20,"If you worked more hours before, than you can file for unemployment benefits.",6213,"[3, 1, 4]",2.666666667,negative
20,"If you worked more hours before, than you can file for unemployment benefits.",1538,"[2, 4, 4]",3.333333333,positive
20,"If you worked more hours before, than you can file for unemployment benefits.",2744,"[1, 3, 2]",2,negative
20,"If you worked more hours before, than you can file for unemployment benefits.",6867,"[2, 3, 4]",3,negative
20,"If you worked more hours before, than you can file for unemployment benefits.",2012,"[4, 2, 3]",3,negative
20,"If you worked more hours before, than you can file for unemployment benefits.",1539,"[3, 3, 2]",2.666666667,negative
20,"If you worked more hours before, than you can file for unemployment benefits.",6860,"[3, 3, 3]",3,negative
20,"If you worked more hours before, than you can file for unemployment benefits.",1547,"[2, 1, 3]",2,negative
20,"If you worked more hours before, than you can file for unemployment benefits.",6884,"[3, 3, 4]",3.333333333,positive
20,"If you worked more hours before, than you can file for unemployment benefits.",6445,"[4, 3, 3]",3.333333333,positive
20,"If you worked more hours before, than you can file for unemployment benefits.",6862,"[2, 3, 3]",2.666666667,negative
20,"If you worked more hours before, than you can file for unemployment benefits.",2746,"[3, 4, 2]",3,negative
20,"If you worked more hours before, than you can file for unemployment benefits.",3051,"[3, 3, 3]",3,negative
20,"If you worked more hours before, than you can file for unemployment benefits.",3066,"[1, 2, 1]",1.333333333,negative
20,"If you worked more hours before, than you can file for unemployment benefits.",6885,"[3, 2, 3]",2.666666667,negative
20,"If you worked more hours before, than you can file for unemployment benefits.",6859,"[1, 3, 2]",2,negative
20,"If you worked more hours before, than you can file for unemployment benefits.",2029,"[2, 3, 3]",2.666666667,negative
20,"If you worked more hours before, than you can file for unemployment benefits.",2914,"[3, 3, 2]",2.666666667,negative
20,"If you worked more hours before, than you can file for unemployment benefits.",7059,"[3, 3, 4]",3.333333333,positive
20,"If you worked more hours before, than you can file for unemployment benefits.",6883,"[1, 3, 1]",1.666666667,negative
20,"If you worked more hours before, than you can file for unemployment benefits.",2229,"[3, 3, 3]",3,negative
20,"If you worked more hours before, than you can file for unemployment benefits.",6861,"[1, 3, 2]",2,negative
20,"If you worked more hours before, than you can file for unemployment benefits.",1540,"[3, 1, 3]",2.333333333,negative
20,"If you worked more hours before, than you can file for unemployment benefits.",2353,"[4, 3, 4]",3.666666667,positive
21,Is it possible for pro leagues to place face-to-face again?,2373,"[3, 3, 2]",2.666666667,negative
21,Is it possible for pro leagues to place face-to-face again?,278,"[1, 3, 1]",1.666666667,negative
21,Is it possible for pro leagues to place face-to-face again?,2003,"[1, 3, 1]",1.666666667,negative
21,Is it possible for pro leagues to place face-to-face again?,889,"[1, 1, 2]",1.333333333,negative
21,Is it possible for pro leagues to place face-to-face again?,5568,"[3, 2, 3]",2.666666667,negative
21,Is it possible for pro leagues to place face-to-face again?,5246,"[2, 3, 1]",2,negative
21,Is it possible for pro leagues to place face-to-face again?,3510,"[1, 1, 3]",1.666666667,negative
21,Is it possible for pro leagues to place face-to-face again?,2436,"[3, 3, 1]",2.333333333,negative
21,Is it possible for pro leagues to place face-to-face again?,5812,"[1, 2, 1]",1.333333333,negative
21,Is it possible for pro leagues to place face-to-face again?,6621,"[1, 1, 1]",1,negative
21,Is it possible for pro leagues to place face-to-face again?,2414,"[1, 2, 1]",1.333333333,negative
21,Is it possible for pro leagues to place face-to-face again?,1263,"[3, 2, 2]",2.333333333,negative
21,Is it possible for pro leagues to place face-to-face again?,1594,"[1, 1, 3]",1.666666667,negative
21,Is it possible for pro leagues to place face-to-face again?,3650,"[3, 2, 2]",2.333333333,negative
21,Is it possible for pro leagues to place face-to-face again?,2580,"[1, 1, 2]",1.333333333,negative
21,Is it possible for pro leagues to place face-to-face again?,5773,"[4, 2, 4]",3.333333333,positive
21,Is it possible for pro leagues to place face-to-face again?,307,"[3, 2, 1]",2,negative
21,Is it possible for pro leagues to place face-to-face again?,6180,"[1, 1, 3]",1.666666667,negative
21,Is it possible for pro leagues to place face-to-face again?,2540,"[1, 3, 3]",2.333333333,negative
21,Is it possible for pro leagues to place face-to-face again?,44,"[1, 1, 1]",1,negative
21,Is it possible for pro leagues to place face-to-face again?,1600,"[2, 4, 3]",3,negative
21,Is it possible for pro leagues to place face-to-face again?,3148,"[4, 3, 4]",3.666666667,positive
21,Is it possible for pro leagues to place face-to-face again?,675,"[3, 1, 4]",2.666666667,negative
21,Is it possible for pro leagues to place face-to-face again?,2223,"[2, 3, 3]",2.666666667,negative
21,Is it possible for pro leagues to place face-to-face again?,425,"[1, 1, 2]",1.333333333,negative
21,Is it possible for pro leagues to place face-to-face again?,1837,"[2, 1, 1]",1.333333333,negative
21,Is it possible for pro leagues to place face-to-face again?,4627,"[3, 2, 4]",3,negative
21,Is it possible for pro leagues to place face-to-face again?,3888,"[1, 1, 2]",1.333333333,negative
21,Is it possible for pro leagues to place face-to-face again?,2728,"[3, 4, 3]",3.333333333,positive
21,Is it possible for pro leagues to place face-to-face again?,6847,"[3, 2, 3]",2.666666667,negative
21,Is it possible for pro leagues to place face-to-face again?,1929,"[3, 1, 2]",2,negative
21,Is it possible for pro leagues to place face-to-face again?,1264,"[1, 1, 3]",1.666666667,negative
21,Is it possible for pro leagues to place face-to-face again?,3146,"[2, 4, 4]",3.333333333,positive
22,Is the COVID-19 virus something that I should feel at risk for contracting?,4401,"[4, 3, 3]",3.333333333,positive
22,Is the COVID-19 virus something that I should feel at risk for contracting?,4690,"[3, 3, 4]",3.333333333,positive
22,Is the COVID-19 virus something that I should feel at risk for contracting?,1497,"[3, 1, 3]",2.333333333,negative
22,Is the COVID-19 virus something that I should feel at risk for contracting?,5280,"[2, 1, 3]",2,negative
22,Is the COVID-19 virus something that I should feel at risk for contracting?,1723,"[2, 4, 1]",2.333333333,negative
22,Is the COVID-19 virus something that I should feel at risk for contracting?,6913,"[2, 1, 3]",2,negative
22,Is the COVID-19 virus something that I should feel at risk for contracting?,3431,"[3, 1, 1]",1.666666667,negative
22,Is the COVID-19 virus something that I should feel at risk for contracting?,4828,"[3, 1, 2]",2,negative
22,Is the COVID-19 virus something that I should feel at risk for contracting?,4791,"[2, 2, 4]",2.666666667,negative
22,Is the COVID-19 virus something that I should feel at risk for contracting?,4238,"[4, 3, 4]",3.666666667,positive
22,Is the COVID-19 virus something that I should feel at risk for contracting?,1035,"[3, 3, 3]",3,negative
22,Is the COVID-19 virus something that I should feel at risk for contracting?,2006,"[2, 3, 4]",3,negative
22,Is the COVID-19 virus something that I should feel at risk for contracting?,5332,"[1, 1, 2]",1.333333333,negative
22,Is the COVID-19 virus something that I should feel at risk for contracting?,4498,"[3, 2, 3]",2.666666667,negative
22,Is the COVID-19 virus something that I should feel at risk for contracting?,6826,"[1, 1, 1]",1,negative
22,Is the COVID-19 virus something that I should feel at risk for contracting?,144,"[4, 3, 1]",2.666666667,negative
22,Is the COVID-19 virus something that I should feel at risk for contracting?,4543,"[2, 1, 2]",1.666666667,negative
22,Is the COVID-19 virus something that I should feel at risk for contracting?,565,"[2, 3, 3]",2.666666667,negative
22,Is the COVID-19 virus something that I should feel at risk for contracting?,6830,"[1, 1, 1]",1,negative
22,Is the COVID-19 virus something that I should feel at risk for contracting?,1034,"[3, 3, 1]",2.333333333,negative
22,Is the COVID-19 virus something that I should feel at risk for contracting?,5286,"[1, 3, 2]",2,negative
22,Is the COVID-19 virus something that I should feel at risk for contracting?,4707,"[2, 1, 3]",2,negative
22,Is the COVID-19 virus something that I should feel at risk for contracting?,4730,"[1, 2, 3]",2,negative
22,Is the COVID-19 virus something that I should feel at risk for contracting?,4875,"[3, 1, 2]",2,negative
22,Is the COVID-19 virus something that I should feel at risk for contracting?,6828,"[1, 3, 1]",1.666666667,negative
22,Is the COVID-19 virus something that I should feel at risk for contracting?,3559,"[4, 4, 4]",4,positive
22,Is the COVID-19 virus something that I should feel at risk for contracting?,6992,"[1, 1, 2]",1.333333333,negative
22,Is the COVID-19 virus something that I should feel at risk for contracting?,2252,"[2, 3, 2]",2.333333333,negative
22,Is the COVID-19 virus something that I should feel at risk for contracting?,2256,"[2, 3, 3]",2.666666667,negative
22,Is the COVID-19 virus something that I should feel at risk for contracting?,618,"[2, 2, 4]",2.666666667,negative
22,Is the COVID-19 virus something that I should feel at risk for contracting?,2248,"[3, 3, 3]",3,negative
22,Is the COVID-19 virus something that I should feel at risk for contracting?,1745,"[3, 2, 3]",2.666666667,negative
22,Is the COVID-19 virus something that I should feel at risk for contracting?,1164,"[2, 2, 3]",2.333333333,negative
22,Is the COVID-19 virus something that I should feel at risk for contracting?,20,"[4, 4, 1]",3,negative
22,Is the COVID-19 virus something that I should feel at risk for contracting?,4318,"[1, 3, 3]",2.333333333,negative
22,Is the COVID-19 virus something that I should feel at risk for contracting?,3252,"[1, 3, 1]",1.666666667,negative
22,Is the COVID-19 virus something that I should feel at risk for contracting?,1490,"[4, 3, 1]",2.666666667,negative
22,Is the COVID-19 virus something that I should feel at risk for contracting?,4392,"[2, 4, 4]",3.333333333,positive
22,Is the COVID-19 virus something that I should feel at risk for contracting?,2935,"[2, 2, 1]",1.666666667,negative
23,How can I organize my business so that it complies with the Heath Office Order that came out on July 2nd?,2432,"[1, 2, 2]",1.666666667,negative
23,How can I organize my business so that it complies with the Heath Office Order that came out on July 2nd?,3351,"[3, 2, 2]",2.333333333,negative
23,How can I organize my business so that it complies with the Heath Office Order that came out on July 2nd?,3343,"[2, 2, 2]",2,negative
23,How can I organize my business so that it complies with the Heath Office Order that came out on July 2nd?,2585,"[2, 2, 3]",2.333333333,negative
23,How can I organize my business so that it complies with the Heath Office Order that came out on July 2nd?,3339,"[3, 1, 3]",2.333333333,negative
23,How can I organize my business so that it complies with the Heath Office Order that came out on July 2nd?,3276,"[4, 2, 4]",3.333333333,positive
23,How can I organize my business so that it complies with the Heath Office Order that came out on July 2nd?,4093,"[3, 3, 4]",3.333333333,positive
23,How can I organize my business so that it complies with the Heath Office Order that came out on July 2nd?,3026,"[3, 2, 1]",2,negative
23,How can I organize my business so that it complies with the Heath Office Order that came out on July 2nd?,186,"[2, 3, 1]",2,negative
23,How can I organize my business so that it complies with the Heath Office Order that came out on July 2nd?,4117,"[3, 2, 2]",2.333333333,negative
23,How can I organize my business so that it complies with the Heath Office Order that came out on July 2nd?,3277,"[2, 4, 3]",3,negative
23,How can I organize my business so that it complies with the Heath Office Order that came out on July 2nd?,3273,"[3, 3, 2]",2.666666667,negative
23,How can I organize my business so that it complies with the Heath Office Order that came out on July 2nd?,3301,"[4, 2, 3]",3,negative
23,How can I organize my business so that it complies with the Heath Office Order that came out on July 2nd?,3271,"[3, 3, 3]",3,negative
23,How can I organize my business so that it complies with the Heath Office Order that came out on July 2nd?,6196,"[1, 2, 2]",1.666666667,negative
23,How can I organize my business so that it complies with the Heath Office Order that came out on July 2nd?,3123,"[2, 1, 1]",1.333333333,negative
23,How can I organize my business so that it complies with the Heath Office Order that came out on July 2nd?,2922,"[1, 2, 2]",1.666666667,negative
23,How can I organize my business so that it complies with the Heath Office Order that came out on July 2nd?,1245,"[1, 4, 2]",2.333333333,negative
23,How can I organize my business so that it complies with the Heath Office Order that came out on July 2nd?,1561,"[1, 2, 1]",1.333333333,negative
23,How can I organize my business so that it complies with the Heath Office Order that came out on July 2nd?,1259,"[2, 3, 3]",2.666666667,negative
23,How can I organize my business so that it complies with the Heath Office Order that came out on July 2nd?,3352,"[2, 2, 4]",2.666666667,negative
23,How can I organize my business so that it complies with the Heath Office Order that came out on July 2nd?,3337,"[2, 4, 3]",3,negative
23,How can I organize my business so that it complies with the Heath Office Order that came out on July 2nd?,3357,"[1, 2, 3]",2,negative
23,How can I organize my business so that it complies with the Heath Office Order that came out on July 2nd?,3342,"[1, 3, 4]",2.666666667,negative
23,How can I organize my business so that it complies with the Heath Office Order that came out on July 2nd?,2718,"[3, 3, 3]",3,negative
23,How can I organize my business so that it complies with the Heath Office Order that came out on July 2nd?,2354,"[3, 3, 2]",2.666666667,negative
23,How can I organize my business so that it complies with the Heath Office Order that came out on July 2nd?,3302,"[3, 1, 4]",2.666666667,negative
23,How can I organize my business so that it complies with the Heath Office Order that came out on July 2nd?,3333,"[3, 3, 4]",3.333333333,positive
24,Which factor will you use to decide who is moving to in-store or delivery?,5998,"[1, 2, 1]",1.333333333,negative
24,Which factor will you use to decide who is moving to in-store or delivery?,584,"[4, 1, 1]",2,negative
24,Which factor will you use to decide who is moving to in-store or delivery?,6286,"[2, 3, 3]",2.666666667,negative
24,Which factor will you use to decide who is moving to in-store or delivery?,2448,"[1, 2, 2]",1.666666667,negative
24,Which factor will you use to decide who is moving to in-store or delivery?,4969,"[2, 1, 2]",1.666666667,negative
24,Which factor will you use to decide who is moving to in-store or delivery?,3497,"[4, 4, 2]",3.333333333,positive
24,Which factor will you use to decide who is moving to in-store or delivery?,6432,"[2, 4, 1]",2.333333333,negative
24,Which factor will you use to decide who is moving to in-store or delivery?,936,"[3, 1, 1]",1.666666667,negative
24,Which factor will you use to decide who is moving to in-store or delivery?,4131,"[1, 1, 3]",1.666666667,negative
24,Which factor will you use to decide who is moving to in-store or delivery?,960,"[2, 4, 3]",3,negative
24,Which factor will you use to decide who is moving to in-store or delivery?,4291,"[1, 3, 1]",1.666666667,negative
24,Which factor will you use to decide who is moving to in-store or delivery?,1385,"[3, 2, 1]",2,negative
24,Which factor will you use to decide who is moving to in-store or delivery?,5932,"[1, 2, 3]",2,negative
24,Which factor will you use to decide who is moving to in-store or delivery?,4281,"[2, 3, 1]",2,negative
24,Which factor will you use to decide who is moving to in-store or delivery?,1402,"[1, 1, 1]",1,negative
24,Which factor will you use to decide who is moving to in-store or delivery?,5955,"[2, 2, 2]",2,negative
24,Which factor will you use to decide who is moving to in-store or delivery?,5351,"[2, 3, 1]",2,negative
24,Which factor will you use to decide who is moving to in-store or delivery?,1404,"[1, 3, 2]",2,negative
24,Which factor will you use to decide who is moving to in-store or delivery?,6410,"[2, 3, 3]",2.666666667,negative
24,Which factor will you use to decide who is moving to in-store or delivery?,6979,"[1, 4, 3]",2.666666667,negative
24,Which factor will you use to decide who is moving to in-store or delivery?,2251,"[1, 1, 3]",1.666666667,negative
24,Which factor will you use to decide who is moving to in-store or delivery?,2172,"[2, 3, 2]",2.333333333,negative
24,Which factor will you use to decide who is moving to in-store or delivery?,4280,"[2, 2, 3]",2.333333333,negative
24,Which factor will you use to decide who is moving to in-store or delivery?,3615,"[1, 1, 1]",1,negative
24,Which factor will you use to decide who is moving to in-store or delivery?,2681,"[3, 1, 2]",2,negative
24,Which factor will you use to decide who is moving to in-store or delivery?,2401,"[3, 4, 3]",3.333333333,positive
24,Which factor will you use to decide who is moving to in-store or delivery?,822,"[1, 1, 2]",1.333333333,negative
24,Which factor will you use to decide who is moving to in-store or delivery?,6635,"[3, 1, 2]",2,negative
24,Which factor will you use to decide who is moving to in-store or delivery?,6408,"[1, 3, 2]",2,negative
24,Which factor will you use to decide who is moving to in-store or delivery?,6607,"[2, 1, 1]",1.333333333,negative
24,Which factor will you use to decide who is moving to in-store or delivery?,5917,"[1, 2, 1]",1.333333333,negative
24,Which factor will you use to decide who is moving to in-store or delivery?,1363,"[1, 3, 1]",1.666666667,negative
25,Is it possible for human beings to get sick with COVID-19 transmitted to them from animals?,3452,"[3, 4, 2]",3,negative
25,Is it possible for human beings to get sick with COVID-19 transmitted to them from animals?,465,"[4, 3, 3]",3.333333333,positive
25,Is it possible for human beings to get sick with COVID-19 transmitted to them from animals?,4124,"[3, 4, 3]",3.333333333,positive
25,Is it possible for human beings to get sick with COVID-19 transmitted to them from animals?,1438,"[3, 2, 4]",3,negative
25,Is it possible for human beings to get sick with COVID-19 transmitted to them from animals?,147,"[3, 2, 3]",2.666666667,negative
25,Is it possible for human beings to get sick with COVID-19 transmitted to them from animals?,477,"[4, 4, 3]",3.666666667,positive
25,Is it possible for human beings to get sick with COVID-19 transmitted to them from animals?,1436,"[3, 3, 3]",3,negative
25,Is it possible for human beings to get sick with COVID-19 transmitted to them from animals?,3572,"[4, 4, 3]",3.666666667,positive
25,Is it possible for human beings to get sick with COVID-19 transmitted to them from animals?,4025,"[4, 4, 4]",4,positive
25,Is it possible for human beings to get sick with COVID-19 transmitted to them from animals?,4633,"[3, 3, 4]",3.333333333,positive
25,Is it possible for human beings to get sick with COVID-19 transmitted to them from animals?,4021,"[4, 3, 4]",3.666666667,positive
25,Is it possible for human beings to get sick with COVID-19 transmitted to them from animals?,463,"[4, 3, 3]",3.333333333,positive
25,Is it possible for human beings to get sick with COVID-19 transmitted to them from animals?,464,"[2, 4, 4]",3.333333333,positive
25,Is it possible for human beings to get sick with COVID-19 transmitted to them from animals?,3451,"[4, 3, 4]",3.666666667,positive
25,Is it possible for human beings to get sick with COVID-19 transmitted to them from animals?,461,"[4, 4, 4]",4,positive
25,Is it possible for human beings to get sick with COVID-19 transmitted to them from animals?,4037,"[3, 4, 4]",3.666666667,positive
25,Is it possible for human beings to get sick with COVID-19 transmitted to them from animals?,1284,"[4, 4, 4]",4,positive
25,Is it possible for human beings to get sick with COVID-19 transmitted to them from animals?,3888,"[2, 2, 2]",2,negative
25,Is it possible for human beings to get sick with COVID-19 transmitted to them from animals?,4009,"[4, 4, 4]",4,positive
25,Is it possible for human beings to get sick with COVID-19 transmitted to them from animals?,1756,"[3, 4, 3]",3.333333333,positive
25,Is it possible for human beings to get sick with COVID-19 transmitted to them from animals?,4010,"[4, 4, 4]",4,positive
25,Is it possible for human beings to get sick with COVID-19 transmitted to them from animals?,1489,"[4, 4, 4]",4,positive
25,Is it possible for human beings to get sick with COVID-19 transmitted to them from animals?,1757,"[4, 4, 4]",4,positive
25,Is it possible for human beings to get sick with COVID-19 transmitted to them from animals?,5170,"[4, 3, 4]",3.666666667,positive
25,Is it possible for human beings to get sick with COVID-19 transmitted to them from animals?,4766,"[4, 4, 3]",3.666666667,positive
25,Is it possible for human beings to get sick with COVID-19 transmitted to them from animals?,1750,"[1, 4, 4]",3,negative
25,Is it possible for human beings to get sick with COVID-19 transmitted to them from animals?,3703,"[3, 4, 3]",3.333333333,positive
25,Is it possible for human beings to get sick with COVID-19 transmitted to them from animals?,4018,"[3, 3, 3]",3,negative
25,Is it possible for human beings to get sick with COVID-19 transmitted to them from animals?,2492,"[1, 1, 1]",1,negative
25,Is it possible for human beings to get sick with COVID-19 transmitted to them from animals?,4421,"[2, 3, 4]",3,negative
25,Is it possible for human beings to get sick with COVID-19 transmitted to them from animals?,4422,"[4, 3, 4]",3.666666667,positive
25,Is it possible for human beings to get sick with COVID-19 transmitted to them from animals?,4014,"[4, 2, 2]",2.666666667,negative
25,Is it possible for human beings to get sick with COVID-19 transmitted to them from animals?,425,"[1, 1, 2]",1.333333333,negative
26,Is it possible to get infected by COVID 19 if i touch food surface packaging?,5007,"[4, 3, 4]",3.666666667,positive
26,Is it possible to get infected by COVID 19 if i touch food surface packaging?,5539,"[1, 3, 1]",1.666666667,negative
26,Is it possible to get infected by COVID 19 if i touch food surface packaging?,160,"[4, 1, 3]",2.666666667,negative
26,Is it possible to get infected by COVID 19 if i touch food surface packaging?,3217,"[3, 4, 4]",3.666666667,positive
26,Is it possible to get infected by COVID 19 if i touch food surface packaging?,3658,"[3, 4, 3]",3.333333333,positive
26,Is it possible to get infected by COVID 19 if i touch food surface packaging?,4817,"[2, 2, 1]",1.666666667,negative
26,Is it possible to get infected by COVID 19 if i touch food surface packaging?,3577,"[3, 2, 4]",3,negative
26,Is it possible to get infected by COVID 19 if i touch food surface packaging?,4582,"[2, 1, 1]",1.333333333,negative
26,Is it possible to get infected by COVID 19 if i touch food surface packaging?,1482,"[3, 1, 3]",2.333333333,negative
26,Is it possible to get infected by COVID 19 if i touch food surface packaging?,1666,"[1, 1, 1, 1, 1, 1]",1,negative
26,Is it possible to get infected by COVID 19 if i touch food surface packaging?,4991,"[3, 4, 3]",3.333333333,positive
26,Is it possible to get infected by COVID 19 if i touch food surface packaging?,3906,"[1, 2, 1]",1.333333333,negative
26,Is it possible to get infected by COVID 19 if i touch food surface packaging?,4530,"[4, 4, 3]",3.666666667,positive
